PlatformStatKey,PlatformType,TotalCount,DateKey
1,YT_Follow,11,20170419
2,SC_Follow,32,20170419
3,IG_Follow,455,20170419
4,YT_Follow,12,20170429
5,SC_Follow,32,20170429
6,IG_Follow,458,20170429
7,FB_Follow,1037,20170429
8,YT_Follow,24,20170508
9,SC_Follow,33,20170508
10,IG_Follow,449,20170508
11,FB_Follow,3226,20170508
12,YT_Follow,24,20170514
13,SC_Follow,33,20170514
14,IG_Follow,450,20170514
15,FB_Follow,5463,20170514
16,YT_Follow,32,20170817
17,SC_Follow,39,20170817
18,IG_Follow,451,20170817
19,FB_Follow,11362,20170817
20,YT_Follow,36,20170920
21,SC_Follow,41,20170920
22,IG_Follow,441,20170920
23,FB_Follow,11426,20170920
24,YT_Follow,37,20171102
25,SC_Follow,47,20171102
26,IG_Follow,449,20171102
27,FB_Follow,11768,20171102
28,YT_Follow,39,20171202
29,SC_Follow,43,20171202
30,IG_Follow,459,20171202
31,FB_Follow,11833,20171202
32,YT_Follow,42,20180102
33,SC_Follow,43,20180102
34,SP_Subscribers,19,20180102
35,IG_Follow,450,20180102
36,FB_Follow,11825,20180102
37,YT_Follow,44,20180202
38,SC_Follow,43,20180202
39,SP_Subscribers,21,20180202
40,IG_Follow,451,20180202
41,FB_Follow,11858,20180202
42,YT_Follow,47,20180302
43,SC_Follow,44,20180302
44,SP_Subscribers,22,20180302
45,IG_Follow,460,20180302
46,FB_Follow,13849,20180302
47,YT_Follow,47,20180402
48,SC_Follow,44,20180402
49,SP_Subscribers,22,20180402
50,IG_Follow,447,20180402
51,FB_Follow,14026,20180402
52,YT_Follow,47,20180502
53,SC_Follow,44,20180502
54,SP_Subscribers,23,20180502
55,IG_Follow,444,20180502
56,FB_Follow,13790,20180502
57,YT_Follow,52,20180602
58,SC_Follow,44,20180602
59,SP_Subscribers,23,20180602
60,IG_Follow,433,20180602
61,FB_Follow,14171,20180602
62,YT_Follow,54,20180702
63,SC_Follow,45,20180702
64,SP_Subscribers,24,20180702
65,IG_Follow,430,20180702
66,FB_Follow,14198,20180702
67,YT_Follow,58,20181102
68,SC_Follow,47,20181102
69,SP_Subscribers,24,20181102
70,IG_Follow,415,20181102
71,FB_Follow,13943,20181102
72,YT_Follow,58,20181128
73,SC_Follow,50,20181128
74,SP_Subscribers,23,20181128
75,IG_Follow,413,20181128
76,FB_Follow,13999,20181128
77,YT_Follow,73,20190202
78,SC_Follow,49,20190202
79,SP_Subscribers,30,20190202
80,IG_Follow,468,20190202
81,FB_Follow,13969,20190202
82,YT_Follow,77,20190302
83,SC_Follow,49,20190302
84,SP_Subscribers,33,20190302
85,IG_Follow,481,20190302
86,FB_Follow,13933,20190302
87,YT_Follow,77,20190402
88,SC_Follow,50,20190402
89,SP_Subscribers,34,20190402
90,IG_Follow,565,20190402
91,FB_Follow,13891,20190402
92,YT_Follow,77,20190502
93,SC_Follow,51,20190502
94,SP_Subscribers,36,20190502
95,IG_Follow,575,20190502
96,FB_Follow,13874,20190502
97,YT_Follow,105,20190602
98,SC_Follow,51,20190602
99,SP_Subscribers,42,20190602
100,IG_Follow,580,20190602
101,FB_Follow,13851,20190602
102,YT_Follow,130,20190702
103,SC_Follow,54,20190702
104,SP_Subscribers,45,20190702
105,SP_Listeners,765,20190702
106,IG_Follow,609,20190702
107,FB_Follow,13830,20190702
108,YT_Follow,135,20190802
109,SC_Follow,54,20190802
110,SP_Subscribers,45,20190802
111,SP_Listeners,993,20190802
112,IG_Follow,601,20190802
113,FB_Follow,13796,20190802
114,YT_Follow,137,20190902
115,SC_Follow,55,20190902
116,SP_Subscribers,47,20190902
117,SP_Listeners,2000,20190902
118,IG_Follow,600,20190902
119,FB_Follow,13763,20190902
120,YT_Follow,137,20191002
121,SC_Follow,55,20191002
122,SP_Subscribers,50,20191002
123,SP_Listeners,3500,20191002
124,IG_Follow,684,20191002
125,FB_Follow,13730,20191002
126,YT_Follow,139,20191102
127,SC_Follow,55,20191102
128,SP_Subscribers,52,20191102
129,SP_Listeners,4600,20191102
130,IG_Follow,696,20191102
131,FB_Follow,13703,20191102
132,YT_Follow,140,20191202
133,SC_Follow,56,20191202
134,SP_Subscribers,53,20191202
135,SP_Listeners,5400,20191202
136,IG_Follow,700,20191202
137,FB_Follow,13687,20191202
138,YT_Follow,144,20200102
139,SC_Follow,55,20200102
140,SP_Subscribers,56,20200102
141,IG_Follow,698,20200102
142,FB_Follow,13661,20200102
143,YT_Follow,142,20200202
144,SC_Follow,55,20200202
145,SP_Subscribers,57,20200202
146,SP_Listeners,8100,20200202
147,IG_Follow,696,20200202
148,FB_Follow,13641,20200202
